cod_entite,typ_entite,lib_entite,long_wgs84,lat_wgs84,x_centroid,y_centroid,cod_versio,dpt,id,nom,hdf_sociodemographie-hdf_sociodemographie_menrp,hdf_sociodemographie-hdf_sociodemographie_pop_mun
"6234200",QLM,FONTAINE LES BOULANS,2.275839739400000,50.497126593799997,595635.229590220027603,2611372.430030600167811,"2021","62","1",Projet,"36","100"
"6234400",QLM,FONTAINE LES HERMANS,2.348114247700000,50.525576439699996,600773.486965910065919,2614541.930678800214082,"2021","62","1",Projet,"42","108"
"6234500",QLM,FONTAINE L'ETALON,2.063278665700000,50.305390833399997,580447.757582769962028,2590036.158344999887049,"2021","62","1",Projet,"45","102"
"6234600",QLM,FORTEL EN ARTOIS,2.226031519000000,50.259758705800003,592056.456238319980912,2584922.857851299922913,"2021","62","1",Projet,"76","211"
"6234700",QLM,FOSSEUX,2.563235768700000,50.255727905999997,616146.340321019990370,2584491.309917199891061,"2021","62","1",Projet,"59","136"
"6234800",QLM,FOUFFLIN RICAMETZ,2.385763524200000,50.349177595900002,603460.960793190053664,2594882.645793499890715,"2021","62","1",Projet,"63","160"
"6234900",QLM,FOUQUEREUIL,2.604400816400000,50.520823566899999,618986.813233040040359,2614044.361439799889922,"2021","62","1",Projet,"617","1570"
"6235000",QLM,FOUQUIERES LES BETHUNE,2.616287873800000,50.515388345600002,619833.726048780023120,2613441.460215200204402,"2021","62","1",Projet,"470","1060"
"6235200",QLM,FRAMECOURT,2.305592431400000,50.330025322200001,597743.140999160008505,2592747.713612100109458,"2021","62","1",Projet,"39","105"
"6235600",QLM,FRESNICOURT LE DOLMEN,2.607290351300000,50.423940193000000,619229.263228190015070,2603246.619890099857002,"2021","62","1",Projet,"314","772"
"6235700",QLM,FRESNOY,2.129515118400000,50.368377086300001,585193.685593890026212,2597040.774447400122881,"2021","62","1",Projet,"28","69"
"6235900",QLM,FRESSIN,2.054974326700000,50.447966708199999,579912.127533909981139,2605927.490495999809355,"2021","62","1",Projet,"212","575"
"6236100",QLM,FREVENT,2.287472118600000,50.276863577800000,596446.748341819969937,2586824.346323999576271,"2021","62","1",Projet,"1466","3570"
"6236200",QLM,FREVILLERS,2.520043944900000,50.398831637999997,613023.548740920028649,2600430.386554399970919,"2021","62","1",Projet,"84","239"
"6236300",QLM,FREVIN CAPELLE,2.633863666100000,50.349945264900001,621152.486376499990001,2595007.042235000059009,"2021","62","1",Projet,"162","380"
"6236400",QLM,FRUGES,2.131562307700000,50.514541035100002,585382.240636139991693,2613330.930376399774104,"2021","62","1",Projet,"1003","2371"
"6236500",QLM,GALAMETZ,2.137978535600000,50.328695065100000,585785.764821249991655,2592617.035196399781853,"2021","62","1",Projet,"80","199"
"6236600",QLM,GAUCHIN LEGAL,2.581071999800000,50.414180782499997,617365.809314860031009,2602152.826667199842632,"2021","62","1",Projet,"130","321"
"6236700",QLM,GAUCHIN VERLOINGT,2.323012085700000,50.389111244500000,598986.991962019936182,2599332.020898600108922,"2021","62","1",Projet,"258","838"
"6236800",QLM,GAUDIEMPRE,2.530439307100000,50.178220335799999,613824.533081250032410,2575849.035426899790764,"2021","62","1",Projet,"78","199"
"6237000",QLM,GENNES IVERGNY,2.050509112700000,50.264581631600002,579519.791517270030454,2585492.004564399830997,"2021","62","1",Projet,"52","128"
"6237200",QLM,GIVENCHY LE NOBLE,2.495774031300000,50.302288924700001,611316.288128269952722,2589667.838552000001073,"2021","62","1",Projet,"60","150"
"6237600",QLM,GONNEHEM,2.572432848000000,50.562515734000002,616701.078510920051485,2618684.472824399825186,"2021","62","1",Projet,"977","2536"
"6237700",QLM,GOSNAY,2.586311721600000,50.507523333999998,617705.996713140048087,2612557.635876100044698,"2021","62","1",Projet,"395","951"
"6237800",QLM,GOUVES,2.636047230500000,50.299357636600000,621329.623979210038669,2589370.326387600041926,"2021","62","1",Projet,"82","197"
"6237900",QLM,GOUY EN ARTOIS,2.594818810700000,50.246915205999997,618405.903363969991915,2583516.285216600168496,"2021","62","1",Projet,"149","330"
"6238000",QLM,GOUY SERVINS,2.648876664900000,50.402626296100003,622199.752643689978868,2600882.160344799980521,"2021","62","1",Projet,"130","344"
"6238100",QLM,GOUY EN TERNOIS,2.411555632600000,50.319817023600002,605303.276791119948030,2591612.181798100005835,"2021","62","1",Projet,"58","133"
"6238500",QLM,GRAND RULLECOURT,2.474867361200000,50.254969903400003,609833.290100089972839,2584392.243375699967146,"2021","62","1",Projet,"166","410"
"6238600",QLM,GRENAY,2.745164494500000,50.450325137400000,629031.029460259946063,2606229.618720599915832,"2021","62","1",Projet,"2708","6932"
"6238800",QLM,GRIGNY,2.064177722600000,50.386028317700003,580543.142592930002138,2599022.145053800195456,"2021","62","1",Projet,"125","296"
"6238900",QLM,GRINCOURT LES PAS,2.496947362200000,50.169519315199999,611430.097784569952637,2574874.223677999805659,"2021","62","1",Projet,"16","30"
